,Category,Subcategory,Count
428,Screening,Procedures/Process,2750
429,Screening,Rail,5
430,Screening,Retrieving Abandoned/Confiscated Items,235
431,Screening,Screening - Children,169
432,Screening,Screening - Classified Materials,5
433,Screening,Screening - Crew Member or Airline Empl,212
434,Screening,Screening - Crew Member or Airline Employee,522
435,Screening,Screening - Cruise Ships,30
436,Screening,Screening - Gate Pass,69
437,Screening,Screening - Inconsistency,4803
438,Screening,Screening - International Screening,1986
439,Screening,Screening - Lengthy Lines,8772
440,Screening,Screening - Military,28
441,Screening,Screening - Opposite Gender,22
442,Screening,Screening - Procedures/Process,33916
443,Screening,Screening - Rail,21
444,Screening,Screening - Retrieving Abandoned/Confisc,505
445,Screening,Screening - Retrieving Abandoned/Confiscated Items,1265
446,Screening,Screening - Security Breach,1107
447,Screening,Screening - Shoe Screening,51
448,Screening,Screening - Traveling with Cash,45
449,Screening,Security Breach,130
450,Screening,Shoe Screening,10
451,Screening,Traveling with Cash,4
452,System Administrator,General,1
453,System Administrator,System Administrator - General,2
454,TSA Contact Information,General,84
455,TSA Contact Information,TSA Contact Information - General,162
456,TWIC,General,98
457,TWIC,Required Documents,14
458,TWIC,Status,2257
459,TWIC,TWIC - General,337
460,TWIC,TWIC - Required Documents,22
461,TWIC,TWIC - Status,1054
462,Transcriptions,Transcriptions - Claim Form Request,4
463,Transfer to Security Specialist,Transfer to Security Specialist - Reportabl,1
464,Transfer to Security Specialist,Transfer to Security Specialist - Reportable Commun,2
465,Transfer to Security Specialist,Transfer to Security Specialist - Reportable Communication,16
466,Transportation Security Operations Center,Transportation Security Operations Cente,1
467,Transportation Security Operations Center,Transportation Security Operations Center - Refer to Airport,3
